"","respondent_id","enrollment","employment","employment_type","weekly_work_hrs","ethnicity","gender","total_income","academic_level","college/school","mode_transport","transport_reliability","living_alone","dependents","household_head","residence","permanent_address","spent_night_elsewhere","know_homelessness_studt","federal_aid","FI_q26","FI_q27","FI_q28","FI_q30","FI_q31","expenditures_changed","income_changed","fed_aid_changed","debt_changed"
"2767",87880144,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Senior","Business","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","Decreased","Decreased","Decreased","Increased"
"2768",87880152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2769",87880155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2770",87880163,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","70,000-99,999","Senior","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Work Study","Never true","Never true","No","No","No","Decreased","About the same","Increased","About the same"
"2771",87880175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2772",87880182,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","10,000-19,999","Junior","Business","Car (alone)","Not reliable at all","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Increased","Increased","About the same","Increased"
"2773",87880187,"Part Time","No",NA,NA,"Hispanic","Female","40,000-49,999","Junior","Business","Car (someone drives) & Carpool","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Sometimes true","No","No","No","About the same","About the same","Decreased","Increased"
"2774",87880192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2775",87880196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2776",87880197,"Full Time","No",NA,NA,"Hispanic","Female","40,000-49,999","Senior","Health Sciences","Car (alone)","Very reliable","No","Yes","No","Off-Campus with family","Yes",NA,"No","Other","Sometimes true","Sometimes true","No","No","No","About the same","About the same","About the same","About the same"
"2777",87880199,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Junior","Engineering","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","No","Rarely","No","Grants","Sometimes true","Sometimes true","No","No","No","About the same","About the same","About the same","About the same"
"2778",87880205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2779",87880206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2780",87880207,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Junior","Business","Car (someone drives) & Carpool","Somewhat reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","Yes","Yes","Yes","About the same","About the same","About the same","Increased"
"2781",87880213,"Full Time","No",NA,NA,"Hispanic","Female","50,000-69,999","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","About the same","Decreased","About the same","Increased"
"2782",87880216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2783",87880220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2784",87880240,"Full Time","Part Time","Off-Campus","19 hours or less","Black/African American","Male",">=100,000","Masters","Science","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Sometimes true","Sometimes true","Yes","Yes","No","About the same","About the same","Decreased","Increased"
"2785",87880246,"Part Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female",">=100,000","Senior","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","About the same","About the same","Decreased","Decreased"
"2786",87880248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2787",87880252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2788",87880258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2789",87880259,"Full Time","No",NA,NA,"Hispanic","Female","30,000-39,000","Sophomore","Liberal Arts","Bus/Public transport","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Increased","About the same","About the same","About the same"
"2790",87880262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2791",87880267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2792",87880270,"Full Time","No",NA,NA,"Hispanic","Female","< 10,000","Sophomore","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Never true","Yes","No","Yes","About the same","About the same","Decreased","About the same"
"2793",87880273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2794",87880297,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male","10,000-19,999","Masters","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Loans","Never true","Sometimes true","Yes","Yes","No","About the same","About the same","About the same","Increased"
"2795",87880314,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male","10,000-19,999","Senior","Liberal Arts","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Never true","Never true","No","No","No","Increased","Decreased","About the same","About the same"
"2796",87880318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2797",87880319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2798",87880322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2799",87880326,"Part Time","No",NA,NA,"Hispanic","Female","40,000-49,999","Freshman","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2800",87880329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801",87880358,"Full Time","No",NA,NA,"Hispanic","Male","70,000-99,999","Freshman","Science","Car (someone drives) & Carpool","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Loans","Never true","Never true","No","No","No","About the same","About the same","Increased","About the same"
"2802",87880364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2803",87880370,"Full Time","No",NA,NA,"Hispanic","Male","40,000-49,999","Senior","Business","Car (someone drives) & Carpool","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Often true","Sometimes true","No","Yes","Yes","Increased","Decreased","About the same","Increased"
"2804",87880375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805",87880391,"Full Time","No",NA,NA,"Hispanic","Female","< 10,000","Freshman","Education","Car (alone)","Fairly reliable","No","No","No","Off-Campus not with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Increased","Decreased","About the same","Increased"
"2806",87880399,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male","20,000-29,999","Junior","Science","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","No","No","No","Decreased","About the same","About the same","Increased"
"2807",87880402,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Junior","Liberal Arts","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Often true","No","No","No","Decreased","Decreased","About the same","Increased"
"2808",87880405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2809",87880407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2810",87880409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2811",87880412,"Part Time","No",NA,NA,"Hispanic","Female","10,000-19,999","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","About the same","Decreased","About the same"
"2812",87880418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2813",87880429,"Part Time","No",NA,NA,"Hispanic","Male","70,000-99,999","Senior","Health Sciences","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2814",87880435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2815",87880440,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","10,000-19,999","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","Yes","No","No","About the same","Decreased","About the same","About the same"
"2816",87880444,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Female","< 10,000","Senior","Education","Car (alone)","Fairly reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"No","Work Study","Sometimes true","Often true","Yes","Yes","Yes","About the same","Decreased","Decreased","Increased"
"2817",87880445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2818",87880448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2819",87880467,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","< 10,000","Masters","Liberal Arts","Bus/Public transport","Very reliable","No","No","No","Off-Campus not with family","Yes",NA,"Yes","Other","Never true","Sometimes true","No","No","No","About the same","About the same","About the same","About the same"
"2820",87880470,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Senior","Science","Bus/Public transport","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Decreased","About the same","About the same","About the same"
"2821",87880472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2822",87880473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2823",87880487,"Full Time","No",NA,NA,"Hispanic","Female","< 10,000","Junior","Science","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2824",87880491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2825",87880513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2826",87880516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2827",87880522,"Full Time","No",NA,NA,"Hispanic","Female","10,000-19,999","Junior","Nursing","Car (alone)","Very reliable","No","Yes","No","Off-Campus with family","Yes",NA,"No","Loans","Never true","Never true","No","No","No","Decreased","Decreased","Decreased","Increased"
"2828",87880524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2829",87880532,"Full Time","No",NA,NA,"Hispanic","Female","70,000-99,999","Junior","Liberal Arts","Car (someone drives) & Carpool","Somewhat reliable","No","No","No","Off-Campus not with family","Yes",NA,"Yes","Multiple Aids","Sometimes true","Sometimes true","No","Yes","No","Increased","About the same","Decreased","Increased"
"2830",87880542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2831",87880558,"Full Time","No",NA,NA,"Other","Male","40,000-49,999","Senior","Business","Car (alone)","Fairly reliable","No","No","No","Off-Campus not with family","Yes",NA,"Yes","Multiple Aids","Never true","Sometimes true","No","No","No","Increased","Decreased","About the same","Increased"
"2832",87880562,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","20,000-29,999","Sophomore","Liberal Arts","Car (alone)","Very reliable","Yes",NA,"Yes","Off-Campus not with family","Yes",NA,"No","Loans","Never true","Never true","No","No","No","About the same","Decreased","About the same","Increased"
"2833",87880564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2834",87880568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2835",87880575,"Part Time","No",NA,NA,"Hispanic","Female","30,000-39,000","Junior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","Decreased","About the same","About the same","About the same"
"2836",87880579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2837",87880597,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female",">=100,000","Junior","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Scholarship","Never true","Never true","No","No","No","About the same","About the same","About the same","Increased"
"2838",87880602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2839",87880606,"Full Time","No",NA,NA,"Other","Female","50,000-69,999","Junior","Science","Car (someone drives) & Carpool","Very reliable","No","No","No","Off-Campus with family","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840",87880611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2841",87880688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2842",87880693,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female",">=100,000","Junior","Science","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Scholarship","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2843",87880695,"Part Time","Full Time","On-Campus","More than 19 hours","Hispanic","Female","40,000-49,999","Masters","Liberal Arts","Car (alone)","Fairly reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"Yes","Scholarship","Never true","Sometimes true","No","No","No","About the same","About the same","Decreased","About the same"
"2844",87880697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2845",87880712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2846",87880714,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Senior","Education","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","Decreased","About the same","About the same","About the same"
"2847",87880717,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Male","10,000-19,999","Freshman","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","Yes","No","No","Increased","About the same","About the same","Increased"
"2848",87880718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2849",87880720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2850",87880723,"Part Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","20,000-29,999","Senior","Science","Bike, Trolley, or Walk","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Loans","Sometimes true","Sometimes true","Yes","Yes","No","About the same","Decreased","Decreased","About the same"
"2851",87880725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2852",87880726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2853",87880727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2854",87880728,"Full Time","No",NA,NA,"Hispanic","Male","70,000-99,999","Junior","Science","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Often true","Often true","Yes","Yes","Yes","About the same","Decreased","Decreased","Increased"
"2855",87880732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2856",87880733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2857",87880736,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Sophomore","Education","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2858",87880738,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","20,000-29,999","Sophomore","Liberal Arts","Bus/Public transport","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Scholarship","Sometimes true","Sometimes true","Yes","No","No","Increased","Decreased","About the same","Increased"
"2859",87880740,"Full Time","Part Time","Off-Campus","19 hours or less","White/Caucasian","Female","70,000-99,999","Junior","Nursing","Not applicable","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2860",87880741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2861",87880742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2862",87880744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2863",87880747,"Part Time","Full Time","Off-Campus","More than 19 hours",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2864",87880751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2865",87880768,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","20,000-29,999","Sophomore","Nursing","Car (alone)","Fairly reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"No","Grants","Never true","Sometimes true","No","No","No","Decreased","About the same","About the same","About the same"
"2866",87880774,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Male","50,000-69,999","Masters","Health Sciences","Bike, Trolley, or Walk","Very reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"No","Scholarship","Never true","Never true","No","No","No","Decreased","About the same","About the same","Increased"
"2867",87880778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2868",87880785,"Full Time","No",NA,NA,"Hispanic","Female","50,000-69,999","Sophomore","Health Sciences","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","Increased","Decreased","About the same","Increased"
"2869",87880788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2870",87880795,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male","< 10,000","Masters","Liberal Arts","Bike, Trolley, or Walk","Very reliable","No","No","Yes","Off-Campus not with family","No","Rarely","No","Loans","Sometimes true","Sometimes true","Yes","Yes","Yes","Increased","Decreased","About the same","About the same"
"2871",87880801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2872",87880802,"Full Time","No",NA,NA,"Other","Male","20,000-29,999","Doctoral/Professional","Health Sciences","Car (alone)","Fairly reliable","No","Yes","Yes","Off-Campus not with family","Yes",NA,"No","Loans","Sometimes true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2873",87880805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2874",87880806,"Full Time","No",NA,NA,"Hispanic","Female","< 10,000","Freshman","Liberal Arts","Car (someone drives) & Carpool","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2875",87880812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2876",87880814,"Full Time","No",NA,NA,"Hispanic","Female","40,000-49,999","Sophomore","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","About the same","Decreased","Decreased","Increased"
"2877",87880815,"Full Time","Part Time","Off-Campus","19 hours or less","Other","Female",">=100,000","Masters","Science","Not applicable","Fairly reliable","Yes",NA,"No","On-Campus","Yes",NA,"Yes","Scholarship","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2878",87880816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2879",87880817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2880",87880818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2881",87880820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2882",87880825,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Sophomore","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"2883",87880829,"Full Time","No",NA,NA,"Hispanic","Female","10,000-19,999","Junior","Business","Car (someone drives) & Carpool","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Decreased","Decreased","About the same","Decreased"
"2884",87880831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2885",87880834,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Male","30,000-39,000","Junior","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","Increased","Decreased","Decreased","Increased"
"2886",87880838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2887",87880840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2888",87880844,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Senior","Education","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","None","Never true","Sometimes true","No","No","No","About the same","About the same","About the same","About the same"
"2889",87880846,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Male","70,000-99,999","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Work Study","Never true","Sometimes true","No","Yes","Yes","Decreased","Decreased","Increased","About the same"
